FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\absent\AbsentConfiguratorTest.java,AbsentConfiguratorTest.java,AbsentConfiguratorTest,testOverrideApplication,9,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\absent\AbsentConfiguratorTest.java,AbsentConfiguratorTest.java,AbsentConfiguratorTest,testOverrideHost,10,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\absent\AbsentConfiguratorTest.java,AbsentConfiguratorTest.java,AbsentConfiguratorTest,testAbsentForVersion27,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\override\OverrideConfiguratorTest.java,OverrideConfiguratorTest.java,OverrideConfiguratorTest,testOverride_Application,9,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\override\OverrideConfiguratorTest.java,OverrideConfiguratorTest.java,OverrideConfiguratorTest,testOverride_Host,10,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\override\OverrideConfiguratorTest.java,OverrideConfiguratorTest.java,OverrideConfiguratorTest,testOverrideForVersion27,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\override\OverrideConfiguratorTest.java,OverrideConfiguratorTest.java,OverrideConfiguratorTest,testOverrideForVersion3,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\parser\ConfigParserTest.java,ConfigParserTest.java,ConfigParserTest,streamToString,3,1,String,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\parser\ConfigParserTest.java,ConfigParserTest.java,ConfigParserTest,snakeYamlBasicTest,1,0,void,,true,false,true,true
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\parser\ConfigParserTest.java,ConfigParserTest.java,ConfigParserTest,parseConfiguratorsServiceNoAppTest,1,0,void,,true,false,true,true
C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\parser\ConfigParserTest.java,ConfigParserTest.java,ConfigParserTest,parseConfiguratorsServiceGroupVersionTest,1,0,void,,true,false,true,true
